hearts,02665
diamondsuit,02666
diams,02666
sung,0266A
flat,0266D
natural,0266E
natur,0266E
sharp,0266F
checkmark,02713
check,02713
cross,02717
maltese,02720
malt,02720
sext,02736
VerticalSeparator,02758
lbbrk,02772
rbbrk,02773
LeftDoubleBracket,027E6
lobrk,027E6
RightDoubleBracket,027E7
robrk,027E7
LeftAngleBracket,027E8
langle,027E8
lang,027E8
RightAngleBracket,027E9
rangle,027E9
rang,027E9
Lang,027EA
Rang,027EB
loang,027EC
roang,027ED
longleftarrow,027F5
LongLeftArrow,027F5
xlarr,027F5
longrightarrow,027F6
LongRightArrow,027F6
xrarr,027F6
longleftrightarrow,027F7
LongLeftRightArrow,027F7
xharr,027F7
Longleftarrow,027F8
DoubleLongLeftArrow,027F8
xlArr,027F8
Longrightarrow,027F9
DoubleLongRightArrow,027F9
xrArr,027F9
Longleftrightarrow,027FA
DoubleLongLeftRightArrow,027FA
xhArr,027FA
longmapsto,027FC
xmap,027FC
dzigrarr,027FF
nvlArr,02902
nvrArr,02903
nvHarr,02904
Map,02905
lbarr,0290C
bkarow,0290D
rbarr,0290D
lBarr,0290E
dbkarow,0290F
rBarr,0290F
drbkarow,02910
RBarr,02910
DDotrahd,02911
UpArrowBar,02912
DownArrowBar,02913
Rarrtl,02916
latail,02919
ratail,0291A
lAtail,0291B
rAtail,0291C
larrfs,0291D
rarrfs,0291E
larrbfs,0291F
rarrbfs,02920
nwarhk,02923
nearhk,02924
hksearow,02925
searhk,02925
hkswarow,02926
swarhk,02926
nwnear,02927
toea,02928
nesear,02928
tosa,02929
seswar,02929
swnwar,0292A
rarrc,02933
cudarrr,02935
ldca,02936
rdca,02937
cudarrl,02938
larrpl,02939
curarrm,0293C
cularrp,0293D
rarrpl,02945
harrcir,02948
Uarrocir,02949
lurdshar,0294A
ldrushar,0294B
LeftRightVector,0294E
RightUpDownVector,0294F
DownLeftRightVector,02950
LeftUpDownVector,02951
LeftVectorBar,02952
RightVectorBar,02953
RightUpVectorBar,02954
RightDownVectorBar,02955
DownLeftVectorBar,02956
DownRightVectorBar,02957
LeftUpVectorBar,02958
LeftDownVectorBar,02959
LeftTeeVector,0295A
RightTeeVector,0295B
RightUpTeeVector,0295C
